train_total,train_rec,train_cons,train_kl,train_cls,val_total,val_auc
5.031122839296019,4.023007238066041,0.02816868145260718,0.010318434676276399,2.00393254106695,5.810122489929199,0.6120121074745687
4.980354996470662,4.0147541033757195,0.02519157190214504,0.00986598138153166,1.9201387894618047,5.859936714172363,0.5139365263649319
5.022859406161618,4.014242128892378,0.024865454474052827,0.010558401331208743,2.0062323081028928,5.822108745574951,0.4747530591183841
4.928575478590928,4.009831286095953,0.02630300113520065,0.012127345258539373,1.825754037151089,5.826340675354004,0.5921345643520566
4.9629443527816175,4.014104942222694,0.029061083984258888,0.01445810737499556,1.8846091419071347,5.800039291381836,0.6123377684407095
4.92707178190157,3.9980661094962775,0.03343832526694645,0.017414467022209973,1.8428946996664073,5.890593528747559,0.3398216742837486
4.919843865679456,3.991526510808375,0.03910524654504541,0.02115139164417595,1.8388780448343847,5.8642377853393555,0.3914905830753354
4.915601649841705,3.9876855286684902,0.04839653129895012,0.0269946094553966,1.8337744644709997,5.795525074005127,0.6053769226989042
4.88009938946018,3.9851964448953603,0.06190883919790194,0.03509742795646965,1.7615333733620582,5.791177272796631,0.5593923534326011
4.8502106047295905,3.9705891237630473,0.07887054621786266,0.045081291299361684,1.7231873057105325,5.731217384338379,0.6304397636247482
4.840849585347361,3.9442856156980834,0.1029350913383744,0.0586503233228411,1.746088939827758,5.710325717926025,0.596935752371124
4.830666034252612,3.936287982123239,0.13409388433029126,0.07564972902273202,1.7275538785117013,5.68576192855835,0.5930983402132782
4.749387852557294,3.8835008701720795,0.16753102529358554,0.09522861310026863,1.6552390634239493,5.64139461517334,0.5973463990859501
4.714521754871715,3.8177957472863135,0.2136478079603864,0.12020255257556965,1.6959725231319278,5.469463348388672,0.6530389392599145
4.601580539307037,3.7290362785388895,0.2713911904917135,0.14905066304392628,1.6216268477501807,5.357402324676514,0.7044327423952037
4.476032034143225,3.607801239211838,0.3517203532256089,0.189403586573415,1.5768331722779707,5.179909706115723,0.6278394822841417
4.336984721097079,3.436358659298389,0.45799744322702485,0.2391589798710563,1.5941373403970298,5.081005573272705,0.5908312754926532
4.187070574079241,3.2320097824195764,0.6100959228230761,0.30664913801403787,1.635417941328767,4.955338954925537,0.5232770037839698
4.109988268319663,3.0990629629655317,0.7433514943370572,0.36624987249250535,1.6878851435401223,4.776385307312012,0.6107477333038478
3.9102925449222714,2.988632127836153,0.7409152071197311,0.3805462110352206,1.5089002785744605,4.522724628448486,0.6558651223647354
